+------+-------------+----------------+----------------+----------------+---------------+---------------+---------------+----------------+----------------+----------------+---------------+---------------+---------------+--------------+--------------+
|  id  | paciente_id | aceleracion_x1 | aceleracion_y1 | aceleracion_z1 | giroscopio_x1 | giroscopio_y1 | giroscopio_z1 | aceleracion_x2 | aceleracion_y2 | aceleracion_z2 | giroscopio_x2 | giroscopio_y2 | giroscopio_z2 | temperatura1 | temperatura2 |
| 1159 |      1      |   -0.3563287   |   -0.2833468   |   -0.5083503   |  -0.7328244   |   -2.732824   |   -1.099237   |   -0.3058517   |   -0.3051414   |   -0.4770982   |   -3.419847   |   0.2748091   |   0.129771    |   209.2359   |   213.2359   |
| 1158 |      1      |   -0.3521785   |   -0.2806476   |   -0.5137013   |   -1.419847   |   -2.480916   |     -1.0      |   -0.3115379   |   -0.3095553   |   -0.4811771   |   -3.656489   |  -0.4198473   |   0.8549618   |    209.33    |   213.3771   |
| 1157 |      1      |   -0.3490353   |   -0.2790131   |   -0.5065064   |  -0.5877862   |     -3.0      |   -1.122137   |   -0.3062868   |   -0.3045356   |   -0.4746774   |   -3.358779   |   0.519084    |   0.1374046   |   209.2359   |   213.2829   |
| 1156 |      1      |   -0.3516232   |   -0.2783955   |   -0.5051982   |  -0.9847328   |   -3.160305   |  -0.9312977   |   -0.3034193   |   -0.3037619   |   -0.4729915   |   -3.366412   |   0.3587786   |   0.2748091   |   209.2359   |   213.3771   |
| 1155 |      1      |   -0.345679    |   -0.2785422   |   -0.5086031   |   1.099237    |   -3.167939   |   -1.633588   |   -0.3068936   |   -0.3060997   |   -0.4768084   |   -3.343511   |  -0.06870229  |   0.3587786   |   209.1418   |    213.33    |
| 1154 |      1      |   -0.3494657   |   -0.2805145   |   -0.5031831   |   -1.19084    |     -3.0      |  -0.7938931   |   -0.3025422   |   -0.301209    |   -0.4711942   |   -3.396947   |   0.5114504   |   0.1832061   |   209.2359   |   213.2359   |
| 1153 |      1      |   -0.3517045   |   -0.2804995   |   -0.5062721   |   -1.320611   |   -2.885496   |  -0.9770992   |   -0.3062477   |   -0.3050347   |   -0.4755693   |   -3.351145   |   0.5496183   |   0.1374046   |   209.2359   |   213.2829   |
| 1152 |      1      |   -0.3518557   |   -0.2819949   |   -0.508287    |  -0.4198473   |   -3.122137   |   -1.129771   |   -0.3058714   |   -0.3041005   |   -0.475745    |   -3.389313   |   0.6564885   |   0.2442748   |   209.2829   |   213.4241   |
| 1151 |      1      |   -0.3523989   |   -0.2812701   |   -0.5081537   |  -0.7328244   |   -2.969466   |  -0.8396947   |   -0.3070273   |   -0.3061314   |   -0.4767654   |   -3.435115   |   0.5572519   |   0.2061069   |   209.2359   |   213.2829   |
| 1150 |      1      |   -0.3488061   |   -0.277065    |   -0.5083165   |   0.1145038   |   -3.381679   |   -1.19084    |   -0.3056291   |   -0.3045173   |   -0.4755215   |   -3.473282   |   0.3053435   |   0.129771    |   209.1418   |   213.2829   |
| 1149 |      1      |   -0.3509284   |   -0.2802629   |   -0.5085398   |  -0.6793893   |   -2.877863   |   -1.022901   |   -0.3068474   |   -0.3042852   |   -0.474033    |   -3.473282   |   0.6030535   |   0.2519084   |   209.2829   |    213.33    |
| 1148 |      1      |   -0.3472273   |   -0.2790127   |   -0.505055    |  -0.4580153   |   -3.083969   |  -0.7480916   |   -0.3056892   |   -0.3040994   |   -0.4749527   |   -3.244275   |   0.4656488   |   0.2061069   |   209.0947   |   213.2829   |
